code,name,date,open,high,low,close,volume,volume-1,volume-2,volume-3,candle,candle-1,candle-2,candle-3,ma5,dcm-ma5,ma20,dcm-ma20
212560,네오오토,2020-01-03,4590,4650,4580,4630,10805,19221.0,9055.0,25752.0,1.0087,1.0166,0.9784,1.0,4569.0,1.0134,4619.75,1.0022
085910,네오티스,2020-01-03,3820,3890,3760,3885,32177,12531.0,15988.0,17110.0,1.017,1.0,0.9719,1.0039,3886.0,0.9997,3962.0,0.9806
007390,네이처셀,2020-01-03,6580,6810,6500,6560,2180336,1090338.0,1164601.0,1501601.0,0.997,0.9835,1.0107,0.9969,6532.0,1.0043,7727.5,0.8489
031390,녹십자셀,2020-01-03,46900,46900,44800,44900,224510,132485.0,209549.0,161912.0,0.9574,0.9979,1.0173,1.0256,45950.0,0.9771,44037.5,1.0196
012340,뉴인텍,2020-01-03,1640,1640,1590,1610,431610,326257.0,603229.0,225180.0,0.9817,0.9729,1.0375,1.0361,1598.0,1.0075,1596.0,1.0088
085670,뉴프렉스,2020-01-03,2210,2230,2155,2175,184850,206557.0,105373.0,101189.0,0.9842,1.0092,1.0291,1.0223,2113.0,1.0293,2107.5,1.032
078140,대봉엘에스,2020-01-03,7010,7050,6900,6940,24276,33556.0,23177.0,20323.0,0.99,1.0205,1.0148,1.0134,6852.0,1.0128,6649.0,1.0438
054670,대한뉴팜,2020-01-03,11600,11850,11000,11300,1310008,133387.0,58441.0,39992.0,0.9741,1.0192,1.0048,1.0148,10550.0,1.0711,10320.5,1.0949
023910,대한약품,2020-01-03,31800,31800,31300,31700,5953,8132.0,15146.0,11075.0,0.9969,1.0016,1.0048,0.9952,31530.0,1.0054,31160.0,1.0173
213420,덕산네오룩스,2020-01-03,26100,27350,26100,26500,419965,233120.0,239037.0,294167.0,1.0153,0.9721,1.0077,1.0,26030.0,1.0181,23157.5,1.1443
206560,덱스터,2020-01-03,7850,7870,7650,7810,357361,357253.0,335652.0,703663.0,0.9949,1.0051,1.0,1.0548,7666.0,1.0188,7750.0,1.0077
006620,동구바이오제약,2020-01-03,17500,18000,16850,16950,606494,280698.0,366860.0,413819.0,0.9686,1.009,0.9912,0.9767,16910.0,1.0024,15555.0,1.0897
263720,디앤씨미디어,2020-01-03,19600,19700,18450,18550,304887,245935.0,588081.0,1227333.0,0.9464,1.0444,1.0628,1.1227,18540.0,1.0005,15942.5,1.1636
066900,디에이피,2020-01-03,3720,3720,3460,3470,269067,117965.0,68016.0,125224.0,0.9328,1.0196,1.0085,1.0114,3555.0,0.9761,3545.75,0.9786
127120,디엔에이링크,2020-01-03,3760,3800,3660,3725,26766,30367.0,15611.0,7782.0,0.9907,0.983,1.0222,1.0028,3671.0,1.0147,3752.5,0.9927
092070,디엔에프,2020-01-03,10050,10250,9840,10250,177930,212648.0,57552.0,96103.0,1.0199,1.0688,1.0043,0.9761,9752.0,1.0511,9100.0,1.1264
039840,디오,2020-01-03,41700,41850,39350,39500,112533,70826.0,74812.0,139180.0,0.9472,0.9903,1.0409,1.0213,40720.0,0.97,39637.5,0.9965
033130,디지틀조선,2020-01-03,2305,2340,2260,2280,344314,438145.0,460459.0,134980.0,0.9892,1.0479,1.0164,1.0047,2203.0,1.035,2175.25,1.0482
263020,디케이앤디,2020-01-03,5640,5740,5560,5640,22290,16747.0,30531.0,19121.0,1.0,0.9809,1.0302,1.0467,5616.0,1.0043,5486.5,1.028
290550,디케이티,2020-01-03,14200,14450,13800,14000,229014,177699.0,224558.0,409702.0,0.9859,0.9894,1.0299,1.0472,13540.0,1.034,12855.0,1.0891
038390,레드캡투어,2020-01-03,15600,15650,15400,15500,11929,3716.0,4916.0,10120.0,0.9936,0.9968,0.9843,0.9968,15720.0,0.986,15992.5,0.9692
